question,answer,A,B,C,D,Category,Human Accuracy
DVD(Digital Versatile Disc)에 대한 설명으로 거리가 먼 것은?,1,기록면이 단면이므로 CD와 유사하다.,"저장용량은 약 4.7GB이며, 17GB이상도 기록 가능하다.",원래 비디오 데이터를 저장하기 위해 개발되었다.,음악 등을 기록하기 위한 DVD Audio도 개발되었다.,Information Technology,0.75
UNIX 시스템에서 커널이 수행하는 기능으로 거리가 먼 것은?,4,프로세스 관리,기억장치 관리,입출력 관리,명령어 해석,Information Technology,0.5
IANA(Internet Assigned Numbers Authority; 인터넷 할당 번호 관리기관)에서 지정한 잘 알려진 포트 번호(WELL KNOW PORT NUMBERS)와 서비스의 연결이 틀린 것은?,4,21-FTP,22-SSH,23-Telnet,25-POP3,Information Technology,0.5
"네트워크 계층의 보안 프로토콜로서 IP에 보안성을 제공하고, 비밀성·무결성 등을 이용한 암호화 처리 기능을 제공하는 것은?",3,DES(Data Encryption Standard),RSA(Rivest Shamir Adleman),IPSec(Internet Protocol Security),ARP(Address Resolution Protocol),Information Technology,0.5556
인터넷 보안의 4가지 주요 기능이 아닌 것은?,4,인증,기밀성,무결성,유효성,Information Technology,0.625
Direct Sequence와 같은 대역 확산 방식을 사용하여 Fading 및 Jamming의 영향을 감소시킬 수 있는 다자간 접속방법은?,3,FDMA(Frequency Division Multiple Access),TDMA(Time Division Multiple Access),CDMA(Code Division Multiple Access),OFDMA(Orthogonal Frequency Division Multiple Access),Information Technology,0.5714
PCM(Pulse Code Modulation) 전송 방식에서 4[kHz]까지의 음성신호를 재생시키기 위한 표본화 주기는?,2,100[μs],125[μs],200[μs],225[μs],Information Technology,0.75
"멀티캐스팅을 위한 것으로 이 클래스는 netid와 hostid가 없으며, 전체 주소가 멀티캐스팅을 위해 사용되는 것은?",4,Class A,Class B,Class C,Class D,Information Technology,0.5714
방송국 등의 정보 제공처에서 사용자의 요구를 미리 파악하고 있다가 해당되는 정보를 넣어 주는 기술은?,2,스트리밍,푸시,쿠키,다중화,Information Technology,0.6667000000000001
지상파[Eureka-147) DMB 채널 대역폭은?,4,2.04[MHz],6.53[MHz],140[MHz],1.536[MHz],Information Technology,0.7143
아날로그 컬러 TV방식 중 625개의 주사선수와 채널대역이 8[MHz]인 것은?,1,SECAM(SEquential Color with Memory),NTSC(National television System Committee),PAL(Phase Alternative by Line),SDTV(Standard Definition TV),Information Technology,0.75
인터넷 아키텍처와 관련된 문제들을 협의하고 조정하는 국제 기구로 IETF와 IRTF를 산하기구로 두고 있는 기관은?,1,IAB(Internet Architecture Board),ISOC(Internet Society),NIC(National Information Center),ITU(International Telecommunication Union),Information Technology,0.8
IPv6에 대한 설명으로 거리가 가장 먼 것은?,4,주소의 길이는 128비트이다.,새로운 기술이나 응용 분야에 의해 요구되는 프로토콜의 확장을 허용하도록 설계되었다.,암호화와 인증 옵션들은 패킷의 신뢰성과 무결성을 제공한다.,주소를 보다 읽기 쉽게 하기 위해 8진수 콜론 표기로 규정한다.,Information Technology,0.0
프로토콜의 세 가지 요소가 아닌 것은?,3,구문(Syntax),순서(timing),통제(Control),의미(Semantics),Information Technology,0.0
인터넷 웹사이트의 방문기록을 남겨 사용자와 웹사이트 사이를 연결해 주는 정보는?,3,스파이웨어,해커,쿠키,백도어,Information Technology,0.0
가상현실의 몰입감 중 게임 등에서 많이 사용되었던 방식으로 참여자가 가상세계 안에서 자신의 모습을 보면서 가상세계와 상호작용하는 방식은?,1,Third person 방식,Extensible 3D방식,On-the-table 방식,Through-the-window 방식,Information Technology,0.6667000000000001
정보보호를 통해 달성하려고 하는 목표로 가장 거리가 먼 것은?,3,비밀성,무결성,책임성,가용성,Information Technology,0.0
스니퍼를 탐지하는 방법으로 가장 거리가 먼 것은?,1,UDP를 이용한 방법,ARP를 이용한 방법,Ping을 이용한 방법,DNS를 이용한 방법,Information Technology,1.0
"웹서비스 제공자가 해당 웹서비스의 정보를 등록하고, 사용자는 원하는 웹서비스를 검색하여 정보를 얻도록 하는 웹서비스 레지스트리(Registry)에 관한 표준은?",1,"UDDI(Universal Description, Discovery, and Integration)",SOAP(Simple Object Access Protocol),WSD(Web Services for Devices),XML(eXtensible markup language),Information Technology,0.8
OSI 7계층에서 전달 계층의 기능에 해당되지 않는 것은?,2,종단대 종단에 대해 흐름제어와 오류제어 수행,응용 프로세스 간의 대화 단위 및 대화방식 결정,연결제어 수행,메시지의 분할과 재조립,Information Technology,0.0
"근거리 무선 통신 규격(IEEE802.15.4)을 기반으로 하여 블루투스의 저속 버전이라고도 불리며, 저소비 전력과 저비용의 장점을 가지고 있는 무선통신기술은?",4,RFID,Wi-Fi,WLAN,ZigBee,Information Technology,0.0
Nyquist 표본화 주기를 만족하지 않게 표본화함으로써 주파수 영역에서 스펙트럼이 겹쳐지게 되어 신호가 왜곡되는 현상은?,4,절단오차,압축에러,반올림 오차,엘리어싱 에러,Information Technology,0.0
OSI 7계층의 기능 설명 중 틀린 것은?,3,데이터 링크계층은 물리주소를 지정한다.,물리계층은 물리적인 매체를 통하여 비트스트림을 전송하는데 필요한 기능을 제공하다.,전송계층은 전자우편의 전달과 저장을 제공한다.,"세션계층은 대화를 구성하고 동기를 취하며, 데이터 교환을 관리한다.",Information Technology,0.5714
"최대 11Mbps 속도로 동작하며, 무선 네트워크를 위한 국제 표준은?",4,IEEE 802.8,IEEE 802.9,IEEE 802.10,IEEE 802.11,Information Technology,0.5714
RFID 기술의 기본구성이 아닌 것은?,4,Tag,Reader,Antenna,IPTV,Information Technology,0.5714
WWL스크립트에 대한 설명으로 가장 거리가 먼 것은?,3,자바스크립트 기반의 스크립팅 언어이다.,임의의 사용자나 환경적인 이벤트에 대한 응답으로 호출 된다.,"신뢰성 있는 데이터전송, 접근제어, 보안 등 3가지 기능을 담당한다.",효율적으로 확장 가능한 라이브러리를 지원한다.,Information Technology,0.4286
TCP/IP 프로토콜의 5RI 계층구조에 HR하지 않는 것은?,3,물리계층,데이터링크계층,세션계층,응용계층,Information Technology,0.4286
“정보 시스템은 적절한 방법으로 주어진 사용자에게 정보 서비스를 제공해야 한다.”는 정보의 속성 중 무엇을 정의한 것인가?,3,무결성,비밀성,가용성,부인방지,Information Technology,0.4443999999999999
ftp에 관한 설명으로 옳지 않은 것은?,2,ftp는 파일 전송 프로토콜이다.,포트 69로 UDP의 서비스를 이용한다.,ftp는 “ftp://”로 시작되는 URL을 갖는다.,put 명령으로 파일을 업로드 할 수 있다.,Information Technology,0.5
도메인 이름에 대한 설명으로 옳지 않은 것은?,4,도메인의 각 부분은 서브도메인이라 하고 이는 점(.)으로 구분한다.,com(Commercial)은 최상위 도메인이며 영리 단체나 기업을 의미한다.,가장 오른쪽에 있는 서브 도메인을 최상위 도메인 또는 존(Zone)이라 한다.,도메인은 항상 4개의 서브 도메인으로 구성되어 있다.,Information Technology,0.5
MPEG-4 기능에 대한 설명으로 옳지 않은 것은?,4,"객체 단위로 시간적, 공간적 압축 방법을 적용할 수 있게 됨에 따라 더 높은 압축률을 적용할 수 있다.",많은 압축 요소들을 표준에 메뉴 형식으로 수용해 응용에 따라 선택해 사용하도록 하고 있다.,무선통신 환경 등을 고려해 전송 오류가 많은 환경에서도 내성이 강하도록 하고 있다.,멀티미디어 정보의 검색을 용이하게 하는 압축표준으로 디지털 라이브러리 분야에 이용된다.,Information Technology,0.375
IP주소 203.240.100.1은 어느 클래스에 속하는가?,3,클래스 A,클래스 B,클래스 C,클래스 D,Information Technology,0.625
데이터 통신에 관한 설명 중 거리가 가장 먼 것은?,4,단방향 통신은 공중파 방송과 같이 송신측과 수신측이 정해져 있다.,전화기는 전이중 통신이 대표적인 예이다.,반이중 통신은 한 번에 한쪽 방향으로만 송수신이 가능하다.,전이중 통신은 무전기와 같이 사용 획득권을 이용하는 방식이다.,Information Technology,0.0
TCP/IP에 대한 설명으로 거리가 가장 먼 것은?,4,TCP는 데이터의 흐름을 관리하고 수신된 데이터가 정확한지 확인하는 기능을 수행한다.,IP에서의 주소는 123.123.123.123처럼 255 이하의 숫자 4개를 마침표로 구분하여 표기한다.,Transmission Control Protocol/Internet Protocol의 약자로 인터넷에서 사용하는 데이터 전송규약이다.,송신되는 데이터가 큰 경우에는 500문자 이하의 패킷으로 나누어 여러 번에 걸쳐 전송한다.,Information Technology,0.0
MP3 파일에 대한 설명으로 올바른 것은?,4,Creative Lab의 오디오 카드에서 사운드 정보를 저장하기 위해 사용하는 파일 형식이다.,빠른 전송률과 높은 압축률로 인해 신시간 스트리밍에 사용되는 Real Audio 포맷이다.,Microsoft에서 개발한 Window Media Format을 기반으로 한 인터넷 전송용 포맷이다.,오디오 CD와 유사한 음질을 보이면서 데이터 크기가 작아 음악저장용으로 널리 사용된다.,Information Technology,0.0
사용자 인증 및 인터넷상에서 외부 접근자의 액세스 제어 가능한 서버에 해당하는 것은?,2,메일 서버,프록시 서버와 방화벽 서버,VOD 서버,통신 서버,Information Technology,0.0
2차 도메인 기관의 종류에 대한 설명으로 바르지 않은 것은?,4,ac: academy(전문대학 이상의 교육 관련 기관),go: government(정부기관),or: other organization(기타 관련 기관/단체),re: recreation(놀이 및 오락 관련 단체),Information Technology,0.0
미디어 인식에 사용되는 디지털 입력 장치가 아닌 것은?,4,ASCII키보드,오디오 디지타이저,이미지 스캐너,프린터,Information Technology,0.0
TCP/IP 프로토콜을 사용하는 응용프로그램으로 다른 호스트에 IP 데이타그램이 도착할 수 있는지를 검사하는데 사용하는 서비스는?,1,PING,Rlogin,NTP((Network Tme Protocol),SNMP(Simple Network Management Protocol),Information Technology,0.75
"MS사가 발표한 PC 관련 기술에 인터넷 환경을 연결시키는 것으로 웹의 내용을 더욱 활동적이고 상호동작이 가능하도록 하기 위한 목적으로 발표한 것으로 취약한 보안, 클라이언트 컴퓨터 부담 가중 및 웹브라우저 호환 결여에 따른 사용자 불편 등으로 차츰 폐기 되어 가고 있는 것은?",2,MSDN,Active-X,PING,XML,Information Technology,0.4286
데이터를 송수신하기 위한 일련의 규칙이나 규약과 포맷의 집합을 의미하는 말은?,1,프로토콜(protocol),블루투스(Bluetooth),이더넷(Ethernet),패킷(Packet),Information Technology,0.8
IPv4(Internet Protocol ver.4)의 주소 부족 문제를 해결하기 위해 도입한 IPv6는 몇 비트 주소체계를 가지는가?,3,32,64,128,256,Information Technology,0.0
IP(IPv4) 주소 203.240.100.1은 어느 클래스에 속하는가?,3,클래스A,클래스B,클래스C,클래스D,Information Technology,0.0
정보통신 시스템의 기본 구성 요소가 아닌 것은?,1,구내 교환기,단말 장치,통신 제어장치,데이터 전송장치,Information Technology,1.0
인터넷의 시초가 되는 최초의 네트워크는?,1,ARPANET,MILNET,NSFNET,CSNET,Information Technology,1.0
프로토콜(protocol)의 기능으로 거리가 가장 먼 것은?,1,삭제(Remove),단편화(Fragmentation),재합성(Reassembly),캡슐화(Encapsulation),Information Technology,1.0
오디오 및 비디오와 같은 실시간 데이터의 신뢰성 있는 전송을 위해 제안된 인터넷 표준 프로토콜은 무엇인가?,2,IP(Internet Protocol),RTP(Real-time Transport Protocol),HTTP(HyperText Transfer Protocol),FTP(File Transfer Protocol),Information Technology,0.0
인터넷 보안 프로토콜과 가장 관련이 적은 것은?,3,S-HTTP(Secure HyperText Transfer Protocol),SSL(Secure Sockets Layer),SGML(Standard Generalized Markup Language),S/MIME(Security Services for Multipurpose Internet Mail Extension),Information Technology,0.0
웹서버 구축 시 활용하는 소프트웨어로 거리가 가정 먼 것은?,3,APACHE,IIS,HTTP,PWS,Information Technology,0.0
물리적인 주소(MAC)를 IP 주소로 변환하는 서비스를 제공하는 서버는?,4,DHCP Server,DNS Server,ARP Server,RARP Server,Information Technology,0.0
"좁은 의미에서는 Walled Garden, VOD 등 초고속 인터넷의 부가 서비스로 서비스 영역을 PC에서 TV로 확장시킨 개념이지만, 넓은 의미에서는 초고속 인터넷의 가입자 망 구간을 물리적인 방송매체로 활용하여 오디오/비디오형태의 방송채널을 적극적으로 수용하는 것을 포함한다. IP네트워크상에서 방송과 VOD형태의 TV 및 비디오를 전달하는 서비스로 정의할 수 있는 것은?",1,IPTV,SDTV,VRML,SGML,Information Technology,1.0
IP 주소 4.5.6.9는 어느 클래스에 속하는가?,1,클래스 A,클래스 B,클래스 C,클래스 D,Information Technology,0.75
“OSI모델의 각 계층 중 물리계층은 (   )단위의 정보를 노드사이의 물리적 매체를 통하여 전자기적 신호나 광신호로 전달하는 역할을 한다.” (   )안에 들어갈 적당한 단어는?,1,비트,프로그램,프레임,패킷,Information Technology,1.0
인터넷에서 사용되는 통신 프로토콜의 영어 원문 표기로 옳지 않은 것은?,2,TCP : Transmission Control Protocol／Internet Protocol,IP : Information Protocol,HTTP : Hypertext Transfer Protocol,SMTP : Simple Mail Transfer Protocol,Information Technology,0.0
